date,close
01/11/2018,6340.99
02/11/2018,6350.43
03/11/2018,6335
04/11/2018,6421.76
05/11/2018,6403.2
06/11/2018,6447.5
07/11/2018,6501
08/11/2018,6405.49
09/11/2018,6325
10/11/2018,6349.32
11/11/2018,6357.54
12/11/2018,6318
13/11/2018,6260.91
14/11/2018,5595.91
